"First_Taxa","Second_Taxa","Weight"
"28","125",6
"29","114",6
"33","43",6
"34","119",6
"35","86",6
"42","122",6
"46","119",6
"48","114",6
"50","65",6
"50","119",6
"51","62",6
"60","82",6
"65","82",6
"67","75",6
"71","80",6
"77","93",6
"82","103",6
"82","116",6
"87","123",6
"105","120",6
"121","124",6
"1","45",5
"4","22",5
"4","41",5
"5","71",5
"10","20",5
"11","39",5
"13","22",5
"13","23",5
"14","39",5
"14","93",5
"14","121",5
"16","19",5
"22","106",5
"22","121",5
"22","125",5
"23","41",5
"25","58",5
"25","125",5
"27","118",5
"29","66",5
"29","74",5
"29","125",5
"31","93",5
"32","62",5
"32","98",5
"38","43",5
"38","88",5
"38","101",5
"39","59",5
"42","57",5
"43","61",5
"44","82",5
"45","81",5
"45","89",5
"46","82",5
"53","80",5
"53","93",5
"53","123",5
"59","86",5
"60","119",5
"66","71",5
"67","105",5
"69","94",5
"71","90",5
"76","82",5
"77","87",5
"80","124",5
"82","90",5
"105","113",5
"1","121",4
"2","32",4
"4","7",4
"4","30",4
"4","44",4
"4","71",4
"4","89",4
"5","59",4
"5","82",4
"7","14",4
"7","77",4
"7","123",4
"7","126",4
"8","34",4
"8","82",4
"11","56",4
"11","92",4
"12","84",4
"13","45",4
"13","80",4
"13","90",4
"14","25",4
"14","30",4
"14","125",4
"15","95",4
"16","65",4
"19","34",4
"19","60",4
"22","41",4
"23","56",4
"25","53",4
"25","121",4
"28","85",4
"32","112",4
"41","45",4
"41","59",4
"41","77",4
"41","80",4
"43","81",4
"44","50",4
"45","106",4
"46","125",4
"49","57",4
"50","116",4
"53","59",4
"53","71",4
"56","59",4
"56","110",4
"56","123",4
"59","71",4
"59","103",4
"62","75",4
"62","95",4
"71","79",4
"71","106",4
"75","95",4
"79","80",4
"79","121",4
"84","119",4
"86","125",4
"89","125",4
"95","98",4
"121","125",4
"1","106",3
"4","13",3
"4","25",3
"4","59",3
"4","66",3
"4","125",3
"5","12",3
"5","25",3
"5","84",3
"6","56",3
"6","89",3
"6","100",3
"7","30",3
"7","92",3
"7","93",3
"8","19",3
"10","71",3
"10","125",3
"11","77",3
"11","93",3
"12","44",3
"12","46",3
"12","76",3
"12","90",3
"12","103",3
"12","116",3
"13","35",3
"13","59",3
"13","125",3
"14","59",3
"14","79",3
"14","92",3
"16","41",3
"21","62",3
"21","113",3
"21","118",3
"22","50",3
"22","71",3
"22","79",3
"22","89",3
"22","93",3
"23","66",3
"23","82",3
"25","41",3
"25","71",3
"25","80",3
"25","86",3
"25","93",3
"27","75",3
"29","43",3
"29","96",3
"30","56",3
"30","85",3
"30","92",3
"30","93",3
"33","85",3
"33","109",3
"35","41",3
"35","66",3
"35","71",3
"35","89",3
"35","124",3
"38","120",3
"39","93",3
"39","108",3
"44","59",3
"46","50",3
"46","59",3
"48","88",3
"50","76",3
"50","93",3
"52","105",3
"53","106",3
"56","93",3
"57","64",3
"58","59",3
"58","80",3
"58","125",3
"59","80",3
"59","89",3
"59","90",3
"59","93",3
"59","116",3
"59","121",3
"62","88",3
"65","119",3
"71","77",3
"71","82",3
"71","93",3
"71","104",3
"71","123",3
"71","125",3
"76","84",3
"79","125",3
"80","89",3
"80","121",3
"81","109",3
"82","84",3
"84","104",3
"86","109",3
"89","90",3
"89","93",3
"89","126",3
"90","124",3
"92","97",3
"93","123",3
"94","126",3
"95","122",3
"99","125",3
"1","71",2
"1","81",2
"1","86",2
"1","89",2
"3","33",2
"4","23",2
"4","100",2
"4","109",2
"4","123",2
"4","126",2
"5","13",2
"5","34",2
"5","41",2
"5","89",2
"6","78",2
"7","11",2
"8","46",2
"8","50",2
"8","65",2
"8","90",2
"8","103",2
"8","116",2
"8","119",2
"9","27",2
"9","36",2
"9","52",2
"9","67",2
"10","41",2
"11","23",2
"11","30",2
"11","117",2
"11","121",2
"13","14",2
"13","25",2
"13","53",2
"13","121",2
"14","22",2
"14","23",2
"14","66",2
"14","71",2
"14","77",2
"14","89",2
"14","90",2
"14","100",2
"15","83",2
"15","111",2
"15","113",2
"16","71",2
"17","25",2
"17","40",2
"17","79",2
"19","22",2
"19","84",2
"19","90",2
"19","104",2
"20","71",2
"20","124",2
"22","45",2
"23","30",2
"23","53",2
"23","59",2
"24","43",2
"24","49",2
"24","85",2
"24","115",2
"25","79",2
"25","89",2
"25","106",2
"26","106",2
"27","40",2
"28","79",2
"28","80",2
"28","101",2
"30","66",2
"30","79",2
"30","87",2
"30","123",2
"31","94",2
"31","117",2
"32","36",2
"32","73",2
"32","118",2
"33","83",2
"33","91",2
"33","101",2
"34","44",2
"34","46",2
"34","90",2
"34","103",2
"34","104",2
"34","116",2
"35","121",2
"35","127",2
"36","52",2
"36","56",2
"36","96",2
"36","111",2
"36","114",2
"36","122",2
"37","109",2
"38","105",2
"38","109",2
"39","74",2
"39","84",2
"39","90",2
"39","92",2
"39","100",2
"39","121",2
"40","52",2
"40","62",2
"40","96",2
"41","70",2
"41","90",2
"41","93",2
"41","96",2
"41","115",2
"42","64",2
"43","64",2
"43","66",2
"43","122",2
"44","84",2
"44","89",2
"48","64",2
"48","96",2
"49","64",2
"49","122",2
"50","71",2
"50","84",2
"50","125",2
"52","57",2
"53","77",2
"53","121",2
"53","126",2
"54","75",2
"55","63",2
"55","121",2
"56","66",2
"56","71",2
"57","73",2
"57","83",2
"58","89",2
"59","66",2
"59","70",2
"59","76",2
"59","77",2
"60","90",2
"60","103",2
"60","104",2
"64","67",2
"64","73",2
"64","95",2
"65","90",2
"65","104",2
"66","79",2
"66","86",2
"66","115",2
"68","73",2
"70","125",2
"71","121",2
"72","122",2
"73","112",2
"73","122",2
"74","88",2
"75","112",2
"75","113",2
"77","84",2
"77","89",2
"77","92",2
"77","94",2
"77","100",2
"77","108",2
"77","117",2
"77","126",2
"79","89",2
"79","106",2
"80","86",2
"80","90",2
"82","121",2
"83","95",2
"83","98",2
"84","90",2
"84","103",2
"84","106",2
"84","116",2
"86","121",2
"87","99",2
"87","126",2
"89","121",2
"89","123",2
"91","102",2
"92","123",2
"93","126",2
"94","123",2
"98","120",2
"101","109",2
"101","122",2
"102","109",2
"108","117",2
"112","122",2
"116","125",2
"117","123",2
"119","121",2
"1","5",1
"1","46",1
"1","66",1
"1","80",1
"1","88",1
"1","95",1
"1","107",1
"1","114",1
"2","21",1
"2","27",1
"2","40",1
"2","72",1
"2","73",1
"2","75",1
"2","83",1
"2","84",1
"2","118",1
"3","6",1
"3","8",1
"3","19",1
"3","20",1
"3","21",1
"3","28",1
"3","34",1
"3","41",1
"3","42",1
"3","50",1
"3","72",1
"3","73",1
"3","84",1
"3","90",1
"3","97",1
"3","107",1
"4","5",1
"4","11",1
"4","18",1
"4","20",1
"4","24",1
"4","36",1
"4","40",1
"4","46",1
"4","70",1
"4","76",1
"4","78",1
"4","86",1
"4","87",1
"4","90",1
"4","104",1
"4","110",1
"4","116",1
"4","117",1
"4","124",1
"5","14",1
"5","19",1
"5","29",1
"5","30",1
"5","39",1
"5","60",1
"5","65",1
"5","96",1
"5","113",1
"5","114",1
"5","121",1
"5","124",1
"5","125",1
"6","13",1
"6","16",1
"6","40",1
"6","41",1
"6","42",1
"6","61",1
"6","72",1
"6","83",1
"6","84",1
"6","88",1
"6","94",1
"6","96",1
"7","9",1
"7","24",1
"7","31",1
"7","56",1
"7","59",1
"7","61",1
"7","70",1
"7","91",1
"7","96",1
"7","107",1
"7","114",1
"7","117",1
"8","12",1
"8","16",1
"8","29",1
"8","40",1
"8","41",1
"8","43",1
"8","44",1
"8","52",1
"8","60",1
"8","76",1
"8","94",1
"8","104",1
"9","21",1
"9","40",1
"9","49",1
"9","54",1
"9","66",1
"9","102",1
"9","118",1
"9","125",1
"10","13",1
"10","22",1
"10","23",1
"10","30",1
"10","35",1
"10","39",1
"10","45",1
"10","63",1
"10","70",1
"10","77",1
"10","81",1
"10","86",1
"10","89",1
"10","118",1
"11","14",1
"11","17",1
"11","18",1
"11","22",1
"11","24",1
"11","37",1
"11","47",1
"11","57",1
"11","70",1
"11","104",1
"11","123",1
"11","126",1
"13","44",1
"13","46",1
"13","66",1
"13","81",1
"13","96",1
"13","103",1
"13","104",1
"13","111",1
"13","116",1
"14","17",1
"14","24",1
"14","35",1
"14","37",1
"14","41",1
"14","53",1
"14","56",1
"14","70",1
"14","82",1
"14","108",1
"14","123",1
"14","124",1
"15","42",1
"15","67",1
"15","72",1
"15","73",1
"15","75",1
"15","84",1
"16","18",1
"16","59",1
"17","28",1
"17","30",1
"17","32",1
"17","35",1
"17","43",1
"17","45",1
"17","56",1
"17","61",1
"17","66",1
"17","69",1
"17","91",1
"17","97",1
"17","111",1
"17","115",1
"17","122",1
"18","24",1
"18","28",1
"18","35",1
"18","36",1
"18","48",1
"18","59",1
"18","64",1
"18","66",1
"18","79",1
"18","109",1
"18","122",1
"18","125",1
"19","44",1
"19","45",1
"19","46",1
"19","76",1
"19","78",1
"19","83",1
"19","94",1
"19","101",1
"19","103",1
"19","116",1
"20","22",1
"20","41",1
"20","45",1
"20","51",1
"20","70",1
"20","89",1
"20","93",1
"20","121",1
"21","49",1
"21","65",1
"21","84",1
"21","105",1
"22","30",1
"22","53",1
"22","61",1
"22","69",1
"22","80",1
"22","90",1
"22","102",1
"22","124",1
"23","37",1
"23","77",1
"23","87",1
"23","90",1
"23","93",1
"23","103",1
"23","108",1
"23","110",1
"23","117",1
"24","25",1
"24","30",1
"24","37",1
"24","59",1
"24","67",1
"24","84",1
"24","97",1
"24","121",1
"24","125",1
"24","127",1
"25","44",1
"25","46",1
"25","77",1
"25","90",1
"25","95",1
"25","103",1
"25","116",1
"25","127",1
"26","56",1
"26","91",1
"26","96",1
"26","113",1
"26","121",1
"26","125",1
"27","37",1
"27","38",1
"27","49",1
"27","52",1
"27","57",1
"27","68",1
"27","88",1
"27","98",1
"27","114",1
"28","37",1
"28","49",1
"28","109",1
"28","122",1
"29","44",1
"29","75",1
"29","88",1
"29","90",1
"29","98",1
"29","101",1
"29","103",1
"29","113",1
"29","117",1
"29","118",1
"30","34",1
"30","41",1
"30","47",1
"30","53",1
"30","55",1
"30","59",1
"30","71",1
"30","90",1
"30","94",1
"30","104",1
"30","109",1
"30","117",1
"30","119",1
"30","121",1
"30","126",1
"31","53",1
"31","56",1
"31","59",1
"31","87",1
"31","92",1
"32","42",1
"32","54",1
"32","59",1
"32","122",1
"33","37",1
"33","42",1
"33","49",1
"33","72",1
"33","73",1
"33","84",1
"33","90",1
"33","127",1
"34","36",1
"34","68",1
"34","76",1
"34","83",1
"34","84",1
"34","101",1
"35","39",1
"35","56",1
"35","79",1
"35","80",1
"35","100",1
"36","42",1
"36","49",1
"36","57",1
"36","64",1
"36","65",1
"36","95",1
"36","118",1
"36","123",1
"36","126",1
"37","39",1
"37","43",1
"37","74",1
"37","85",1
"37","88",1
"37","93",1
"37","97",1
"37","108",1
"37","114",1
"37","117",1
"37","121",1
"38","41",1
"38","66",1
"38","84",1
"38","113",1
"38","125",1
"38","127",1
"39","53",1
"39","56",1
"39","77",1
"39","87",1
"39","88",1
"39","103",1
"39","107",1
"39","116",1
"39","117",1
"39","125",1
"40","54",1
"40","59",1
"40","65",1
"40","66",1
"40","83",1
"40","84",1
"40","109",1
"41","44",1
"41","46",1
"41","50",1
"41","76",1
"41","82",1
"41","91",1
"41","103",1
"41","104",1
"41","116",1
"41","121",1
"42","72",1
"42","73",1
"42","90",1
"43","72",1
"43","86",1
"43","99",1
"43","101",1
"43","108",1
"44","60",1
"44","65",1
"44","71",1
"44","124",1
"44","125",1
"45","58",1
"45","94",1
"45","125",1
"46","60",1
"46","65",1
"46","71",1
"46","84",1
"46","121",1
"47","61",1
"47","66",1
"47","85",1
"47","90",1
"48","51",1
"48","69",1
"48","73",1
"48","90",1
"49","62",1
"49","67",1
"49","101",1
"49","102",1
"49","115",1
"50","59",1
"50","73",1
"50","80",1
"50","94",1
"50","98",1
"50","102",1
"50","113",1
"50","118",1
"51","80",1
"51","125",1
"52","66",1
"52","68",1
"52","84",1
"52","104",1
"53","58",1
"53","66",1
"53","81",1
"53","90",1
"53","94",1
"53","95",1
"53","99",1
"53","103",1
"53","108",1
"53","117",1
"53","127",1
"54","59",1
"54","95",1
"54","112",1
"54","118",1
"54","122",1
"55","64",1
"55","71",1
"55","86",1
"55","93",1
"55","107",1
"55","124",1
"55","125",1
"56","70",1
"56","78",1
"56","79",1
"56","95",1
"56","97",1
"56","100",1
"56","117",1
"56","125",1
"56","126",1
"57","90",1
"57","103",1
"57","105",1
"57","120",1
"57","127",1
"58","66",1
"58","71",1
"58","81",1
"58","86",1
"58","124",1
"59","79",1
"59","82",1
"59","84",1
"59","95",1
"59","104",1
"59","107",1
"59","111",1
"59","117",1
"59","119",1
"59","124",1
"59","127",1
"60","74",1
"60","76",1
"60","84",1
"60","116",1
"61","80",1
"61","100",1
"61","106",1
"61","127",1
"62","73",1
"62","74",1
"63","93",1
"63","117",1
"63","121",1
"64","118",1
"65","83",1
"65","84",1
"65","94",1
"65","95",1
"65","99",1
"65","101",1
"65","102",1
"65","103",1
"65","116",1
"66","81",1
"66","84",1
"66","89",1
"66","91",1
"66","93",1
"66","99",1
"66","109",1
"66","121",1
"66","123",1
"66","126",1
"67","73",1
"67","98",1
"67","113",1
"67","118",1
"68","84",1
"68","113",1
"69","77",1
"69","90",1
"69","93",1
"69","95",1
"69","125",1
"70","71",1
"70","78",1
"70","79",1
"70","82",1
"70","88",1
"70","89",1
"70","110",1
"70","119",1
"70","121",1
"70","123",1
"70","124",1
"70","126",1
"71","84",1
"71","86",1
"71","103",1
"71","115",1
"71","116",1
"71","124",1
"72","86",1
"73","75",1
"73","83",1
"73","90",1
"73","95",1
"73","97",1
"74","90",1
"75","98",1
"75","127",1
"76","89",1
"76","124",1
"76","125",1
"77","97",1
"77","99",1
"77","123",1
"78","81",1
"78","90",1
"78","110",1
"79","84",1
"79","90",1
"79","96",1
"79","111",1
"80","111",1
"80","125",1
"81","91",1
"81","101",1
"81","122",1
"82","106",1
"82","125",1
"83","85",1
"83","102",1
"83","112",1
"84","88",1
"84","96",1
"84","98",1
"84","99",1
"84","101",1
"84","102",1
"84","113",1
"85","90",1
"85","100",1
"85","101",1
"85","107",1
"85","108",1
"85","117",1
"85","124",1
"86","98",1
"86","127",1
"87","92",1
"87","117",1
"88","101",1
"88","118",1
"89","103",1
"89","115",1
"89","116",1
"89","124",1
"90","91",1
"90","93",1
"90","96",1
"90","97",1
"90","102",1
"90","113",1
"90","114",1
"90","115",1
"90","118",1
"90","121",1
"90","123",1
"90","127",1
"91","92",1
"91","106",1
"91","109",1
"91","115",1
"92","100",1
"92","114",1
"92","117",1
"93","94",1
"93","99",1
"93","100",1
"93","104",1
"93","108",1
"93","116",1
"93","125",1
"94","99",1
"94","100",1
"94","108",1
"94","112",1
"94","117",1
"95","105",1
"95","127",1
"96","114",1
"96","127",1
"97","100",1
"97","115",1
"99","108",1
"99","117",1
"100","108",1
"100","125",1
"101","107",1
"102","113",1
"102","114",1
"102","115",1
"103","114",1
"103","124",1
"103","125",1
"104","108",1
"104","124",1
"104","125",1
"105","118",1
"106","121",1
"106","125",1
"106","127",1
"107","109",1
"107","121",1
"107","124",1
"108","123",1
"108","126",1
"109","112",1
"109","121",1
"109","122",1
"110","117",1
"110","123",1
"110","124",1
"111","115",1
"111","127",1
"113","114",1
"113","127",1
"114","127",1
"115","118",1
"115","124",1
"117","118",1
"117","121",1
"117","126",1
"118","122",1
"124","125",1
"124","127",1
